year,month,oilgas_emp,N,state
2009,7,7864,"7877","COLORADO"
2009,8,7823,"7877","COLORADO"
2009,9,7751,"7877","COLORADO"
2009,10,7676,"7877","COLORADO"
2009,11,7598,"7877","COLORADO"
2009,12,7618,"7877","COLORADO"
2010,1,7615,"7830","COLORADO"
2010,2,7679,"7830","COLORADO"
2010,3,7693,"7830","COLORADO"
2010,4,7681,"7830","COLORADO"
2010,5,7751,"7830","COLORADO"
2010,6,7876,"7830","COLORADO"
2010,7,7927,"7830","COLORADO"
2010,8,7940,"7830","COLORADO"
2010,9,7872,"7830","COLORADO"
2010,10,7883,"7830","COLORADO"
2010,11,7959,"7830","COLORADO"
2010,12,8079,"7830","COLORADO"
2011,1,8150,"8457","COLORADO"
2011,2,8248,"8457","COLORADO"
2011,3,8257,"8457","COLORADO"
2011,4,8273,"8457","COLORADO"
2011,5,8354,"8457","COLORADO"
2011,6,8511,"8457","COLORADO"
2011,7,8596,"8457","COLORADO"
2011,8,8670,"8457","COLORADO"
2011,9,8325,"8457","COLORADO"
2011,10,8591,"8457","COLORADO"
2011,11,8696,"8457","COLORADO"
2011,12,8817,"8457","COLORADO"
2012,1,8780,"9152","COLORADO"
2012,2,8851,"9152","COLORADO"
2012,3,8908,"9152","COLORADO"
2012,4,8937,"9152","COLORADO"
2012,5,9048,"9152","COLORADO"
2012,6,9176,"9152","COLORADO"
2012,7,9289,"9152","COLORADO"
2012,8,9341,"9152","COLORADO"
2012,9,9252,"9152","COLORADO"
2012,10,9364,"9152","COLORADO"
2012,11,9404,"9152","COLORADO"
2012,12,9479,"9152","COLORADO"
2013,1,9520,"","COLORADO"
2013,2,9591,"","COLORADO"
2013,3,9587,"","COLORADO"
2013,4,,"","COLORADO"
2013,5,,"","COLORADO"
2013,6,,"","COLORADO"
2013,7,,"","COLORADO"
2013,8,,"","COLORADO"
2013,9,,"","COLORADO"
2013,10,,"","COLORADO"
2013,11,,"","COLORADO"
2013,12,,"","COLORADO"
2004,1,,"","CONNECTICUT"
2004,2,,"","CONNECTICUT"
2004,3,,"","CONNECTICUT"
2004,4,,"","CONNECTICUT"
2004,5,,"","CONNECTICUT"
2004,6,,"","CONNECTICUT"
2004,7,,"","CONNECTICUT"
2004,8,,"","CONNECTICUT"
2004,9,,"","CONNECTICUT"
2004,10,,"","CONNECTICUT"
2004,11,,"","CONNECTICUT"
2004,12,,"","CONNECTICUT"
2005,1,,"","CONNECTICUT"
2005,2,,"","CONNECTICUT"
2005,3,,"","CONNECTICUT"
2005,4,,"","CONNECTICUT"
2005,5,,"","CONNECTICUT"
2005,6,,"","CONNECTICUT"
2005,7,,"","CONNECTICUT"
2005,8,,"","CONNECTICUT"
2005,9,,"","CONNECTICUT"
2005,10,,"","CONNECTICUT"
2005,11,,"","CONNECTICUT"
2005,12,,"","CONNECTICUT"
2006,1,,"","CONNECTICUT"
2006,2,,"","CONNECTICUT"
2006,3,,"","CONNECTICUT"
2006,4,,"","CONNECTICUT"
2006,5,,"","CONNECTICUT"
2006,6,,"","CONNECTICUT"
2006,7,,"","CONNECTICUT"
2006,8,,"","CONNECTICUT"
2006,9,,"","CONNECTICUT"
2006,10,,"","CONNECTICUT"
2006,11,,"","CONNECTICUT"
2006,12,,"","CONNECTICUT"
2007,1,,"","CONNECTICUT"
2007,2,,"","CONNECTICUT"
2007,3,,"","CONNECTICUT"
2007,4,,"","CONNECTICUT"
2007,5,,"","CONNECTICUT"
2007,6,,"","CONNECTICUT"
2007,7,,"","CONNECTICUT"
2007,8,,"","CONNECTICUT"
2007,9,,"","CONNECTICUT"
2007,10,,"","CONNECTICUT"
2007,11,,"","CONNECTICUT"
2007,12,,"","CONNECTICUT"
2008,1,,"","CONNECTICUT"
2008,2,,"","CONNECTICUT"
2008,3,,"","CONNECTICUT"
2008,4,,"","CONNECTICUT"
2008,5,,"","CONNECTICUT"
2008,6,,"","CONNECTICUT"
2008,7,,"","CONNECTICUT"
2008,8,,"","CONNECTICUT"
2008,9,,"","CONNECTICUT"
2008,10,,"","CONNECTICUT"
2008,11,,"","CONNECTICUT"
2008,12,,"","CONNECTICUT"
2009,1,,"","CONNECTICUT"
2009,2,,"","CONNECTICUT"
2009,3,,"","CONNECTICUT"
2009,4,,"","CONNECTICUT"
2009,5,,"","CONNECTICUT"
2009,6,,"","CONNECTICUT"
2009,7,,"","CONNECTICUT"
2009,8,,"","CONNECTICUT"
2009,9,,"","CONNECTICUT"
2009,10,,"","CONNECTICUT"
2009,11,,"","CONNECTICUT"
2009,12,,"","CONNECTICUT"
2010,1,,"","CONNECTICUT"
2010,2,,"","CONNECTICUT"
2010,3,,"","CONNECTICUT"
2010,4,,"","CONNECTICUT"
2010,5,,"","CONNECTICUT"
2010,6,,"","CONNECTICUT"
2010,7,,"","CONNECTICUT"
2010,8,,"","CONNECTICUT"
2010,9,,"","CONNECTICUT"
2010,10,,"","CONNECTICUT"
2010,11,,"","CONNECTICUT"
2010,12,,"","CONNECTICUT"
2003,1,,"","DELAWARE"
2003,2,,"","DELAWARE"
2003,3,,"","DELAWARE"
2003,4,,"","DELAWARE"
2003,5,,"","DELAWARE"
2003,6,,"","DELAWARE"
2003,7,,"","DELAWARE"
2003,8,,"","DELAWARE"
2003,9,,"","DELAWARE"
2003,10,,"","DELAWARE"
2003,11,,"","DELAWARE"
2003,12,,"","DELAWARE"
2004,1,,"","DELAWARE"
2004,2,,"","DELAWARE"
2004,3,,"","DELAWARE"
2004,4,,"","DELAWARE"
2004,5,,"","DELAWARE"
2004,6,,"","DELAWARE"
2004,7,,"","DELAWARE"
2004,8,,"","DELAWARE"
2004,9,,"","DELAWARE"
2004,10,,"","DELAWARE"
2004,11,,"","DELAWARE"
2004,12,,"","DELAWARE"
2005,1,,"","DELAWARE"
2005,2,,"","DELAWARE"
2005,3,,"","DELAWARE"
2005,4,,"","DELAWARE"
2005,5,,"","DELAWARE"
2005,6,,"","DELAWARE"
2005,7,,"","DELAWARE"
2005,8,,"","DELAWARE"
2005,9,,"","DELAWARE"
2005,10,,"","DELAWARE"
2005,11,,"","DELAWARE"
2005,12,,"","DELAWARE"
2006,1,,"","DELAWARE"
2006,2,,"","DELAWARE"
2006,3,,"","DELAWARE"
2006,4,,"","DELAWARE"
2006,5,,"","DELAWARE"
2006,6,,"","DELAWARE"
2006,7,,"","DELAWARE"
2006,8,,"","DELAWARE"
2006,9,,"","DELAWARE"
2006,10,,"","DELAWARE"
2006,11,,"","DELAWARE"
2006,12,,"","DELAWARE"
2010,1,,"","DELAWARE"
2010,2,,"","DELAWARE"
2010,3,,"","DELAWARE"
2010,4,,"","DELAWARE"
2010,5,,"","DELAWARE"
2010,6,,"","DELAWARE"
2010,7,,"","DELAWARE"
2010,8,,"","DELAWARE"
2010,9,,"","DELAWARE"
2010,10,,"","DELAWARE"
2010,11,,"","DELAWARE"
2010,12,,"","DELAWARE"
2003,1,205,"176","FLORIDA"
2003,2,204,"176","FLORIDA"
2003,3,202,"176","FLORIDA"
2003,4,198,"176","FLORIDA"
2003,5,186,"176","FLORIDA"
2003,6,181,"176","FLORIDA"
2003,7,163,"176","FLORIDA"
2003,8,158,"176","FLORIDA"
2003,9,159,"176","FLORIDA"
2003,10,152,"176","FLORIDA"
2003,11,152,"176","FLORIDA"
2003,12,152,"176","FLORIDA"
2004,1,144,"141","FLORIDA"
2004,2,143,"141","FLORIDA"
2004,3,141,"141","FLORIDA"
2004,4,147,"141","FLORIDA"
2004,5,147,"141","FLORIDA"
2004,6,143,"141","FLORIDA"
2004,7,138,"141","FLORIDA"
2004,8,137,"141","FLORIDA"
2004,9,140,"141","FLORIDA"
2004,10,137,"141","FLORIDA"
2004,11,135,"141","FLORIDA"
2004,12,134,"141","FLORIDA"
2005,1,134,"124","FLORIDA"
2005,2,126,"124","FLORIDA"
2005,3,125,"124","FLORIDA"
2005,4,131,"124","FLORIDA"
2005,5,126,"124","FLORIDA"
2005,6,125,"124","FLORIDA"
2005,7,120,"124","FLORIDA"
2005,8,118,"124","FLORIDA"
2005,9,121,"124","FLORIDA"
2005,10,121,"124","FLORIDA"
2005,11,121,"124","FLORIDA"
2005,12,122,"124","FLORIDA"
2006,1,109,"112","FLORIDA"
2006,2,111,"112","FLORIDA"
2006,3,106,"112","FLORIDA"
2006,4,114,"112","FLORIDA"
2006,5,113,"112","FLORIDA"
2006,6,113,"112","FLORIDA"
2006,7,110,"112","FLORIDA"
2006,8,111,"112","FLORIDA"
2006,9,116,"112","FLORIDA"
2006,10,113,"112","FLORIDA"
2006,11,112,"112","FLORIDA"
2006,12,111,"112","FLORIDA"
2007,1,106,"100","FLORIDA"
2007,2,105,"100","FLORIDA"
2007,3,101,"100","FLORIDA"
2007,4,106,"100","FLORIDA"
2007,5,106,"100","FLORIDA"
2007,6,103,"100","FLORIDA"
2007,7,100,"100","FLORIDA"
2007,8,94,"100","FLORIDA"
2007,9,96,"100","FLORIDA"
2007,10,94,"100","FLORIDA"
2007,11,96,"100","FLORIDA"
2007,12,95,"100","FLORIDA"
2008,1,112,"112","FLORIDA"
2008,2,110,"112","FLORIDA"
2008,3,109,"112","FLORIDA"
2008,4,107,"112","FLORIDA"
2008,5,108,"112","FLORIDA"
2008,6,112,"112","FLORIDA"
2008,7,116,"112","FLORIDA"
2008,8,116,"112","FLORIDA"
2008,9,115,"112","FLORIDA"
2008,10,114,"112","FLORIDA"
2008,11,112,"112","FLORIDA"
2008,12,111,"112","FLORIDA"
2009,1,95,"76","FLORIDA"
2009,2,81,"76","FLORIDA"
2009,3,79,"76","FLORIDA"
2009,4,74,"76","FLORIDA"
2009,5,78,"76","FLORIDA"
2009,6,74,"76","FLORIDA"
2009,7,70,"76","FLORIDA"
2009,8,70,"76","FLORIDA"
2009,9,71,"76","FLORIDA"
2009,10,72,"76","FLORIDA"
2009,11,76,"76","FLORIDA"
2009,12,73,"76","FLORIDA"
2010,1,74,"73","FLORIDA"
2010,2,72,"73","FLORIDA"
2010,3,73,"73","FLORIDA"
2010,4,71,"73","FLORIDA"
2010,5,70,"73","FLORIDA"
2010,6,70,"73","FLORIDA"
2010,7,53,"73","FLORIDA"
2010,8,77,"73","FLORIDA"
2010,9,82,"73","FLORIDA"
2010,10,76,"73","FLORIDA"
2010,11,78,"73","FLORIDA"
2010,12,85,"73","FLORIDA"
2011,1,71,"74","FLORIDA"
2011,2,71,"74","FLORIDA"
2011,3,70,"74","FLORIDA"
2011,4,72,"74","FLORIDA"
2011,5,74,"74","FLORIDA"
2011,6,73,"74","FLORIDA"
2011,7,72,"74","FLORIDA"
2011,8,74,"74","FLORIDA"
2011,9,78,"74","FLORIDA"
2011,10,77,"74","FLORIDA"
2011,11,76,"74","FLORIDA"
2011,12,76,"74","FLORIDA"
2012,1,96,"97","FLORIDA"
2012,2,96,"97","FLORIDA"
2012,3,97,"97","FLORIDA"
2012,4,95,"97","FLORIDA"
2012,5,96,"97","FLORIDA"
2012,6,94,"97","FLORIDA"
2012,7,97,"97","FLORIDA"
2012,8,99,"97","FLORIDA"
2012,9,96,"97","FLORIDA"
2012,10,98,"97","FLORIDA"
2012,11,100,"97","FLORIDA"
2012,12,102,"97","FLORIDA"
2013,1,102,"","FLORIDA"
2013,2,104,"","FLORIDA"
2013,3,98,"","FLORIDA"
2013,4,,"","FLORIDA"
2013,5,,"","FLORIDA"
2013,6,,"","FLORIDA"
2013,7,,"","FLORIDA"
2013,8,,"","FLORIDA"
2013,9,,"","FLORIDA"
2013,10,,"","FLORIDA"
2013,11,,"","FLORIDA"
2013,12,,"","FLORIDA"
2003,1,,"","GEORGIA"
2003,2,,"","GEORGIA"
2003,3,,"","GEORGIA"
2003,4,,"","GEORGIA"
2003,5,,"","GEORGIA"
2003,6,,"","GEORGIA"
2003,7,,"","GEORGIA"
2003,8,,"","GEORGIA"
2003,9,,"","GEORGIA"
2003,10,,"","GEORGIA"
2003,11,,"","GEORGIA"
2003,12,,"","GEORGIA"
2004,1,,"","GEORGIA"
2004,2,,"","GEORGIA"
2004,3,,"","GEORGIA"
2004,4,,"","GEORGIA"
2004,5,,"","GEORGIA"
2004,6,,"","GEORGIA"
2004,7,,"","GEORGIA"
2004,8,,"","GEORGIA"
2004,9,,"","GEORGIA"
2004,10,,"","GEORGIA"
2004,11,,"","GEORGIA"
2004,12,,"","GEORGIA"
2005,1,,"","GEORGIA"
2005,2,,"","GEORGIA"
2005,3,,"","GEORGIA"
2005,4,,"","GEORGIA"
2005,5,,"","GEORGIA"
2005,6,,"","GEORGIA"
2005,7,,"","GEORGIA"
2005,8,,"","GEORGIA"
2005,9,,"","GEORGIA"
2005,10,,"","GEORGIA"
2005,11,,"","GEORGIA"
2005,12,,"","GEORGIA"
2006,1,,"","GEORGIA"
2006,2,,"","GEORGIA"
2006,3,,"","GEORGIA"
2006,4,,"","GEORGIA"
2006,5,,"","GEORGIA"
2006,6,,"","GEORGIA"
2006,7,,"","GEORGIA"
2006,8,,"","GEORGIA"
2006,9,,"","GEORGIA"
2006,10,,"","GEORGIA"
2006,11,,"","GEORGIA"
2006,12,,"","GEORGIA"
2007,1,,"","GEORGIA"
2007,2,,"","GEORGIA"
2007,3,,"","GEORGIA"
2007,4,,"","GEORGIA"
2007,5,,"","GEORGIA"
2007,6,,"","GEORGIA"
2007,7,,"","GEORGIA"
2007,8,,"","GEORGIA"
2007,9,,"","GEORGIA"
2007,10,,"","GEORGIA"
2007,11,,"","GEORGIA"
2007,12,,"","GEORGIA"
2008,1,,"","GEORGIA"
2008,2,,"","GEORGIA"
2008,3,,"","GEORGIA"
2008,4,,"","GEORGIA"
2008,5,,"","GEORGIA"
2008,6,,"","GEORGIA"
2008,7,,"","GEORGIA"
2008,8,,"","GEORGIA"
2008,9,,"","GEORGIA"
2008,10,,"","GEORGIA"
2008,11,,"","GEORGIA"
2008,12,,"","GEORGIA"
2009,1,,"","GEORGIA"
2009,2,,"","GEORGIA"
2009,3,,"","GEORGIA"
2009,4,,"","GEORGIA"
2009,5,,"","GEORGIA"
2009,6,,"","GEORGIA"
2009,7,,"","GEORGIA"
2009,8,,"","GEORGIA"
2009,9,,"","GEORGIA"
2009,10,,"","GEORGIA"
2009,11,,"","GEORGIA"
2009,12,,"","GEORGIA"
2010,1,,"","GEORGIA"
2010,2,,"","GEORGIA"
2010,3,,"","GEORGIA"
2010,4,,"","GEORGIA"
2010,5,,"","GEORGIA"
2010,6,,"","GEORGIA"
2010,7,,"","GEORGIA"
2010,8,,"","GEORGIA"
2010,9,,"","GEORGIA"
2010,10,,"","GEORGIA"
2010,11,,"","GEORGIA"
2010,12,,"","GEORGIA"
2011,1,,"","GEORGIA"
2011,2,,"","GEORGIA"
2011,3,,"","GEORGIA"
2011,4,,"","GEORGIA"
2011,5,,"","GEORGIA"
2011,6,,"","GEORGIA"
2011,7,,"","GEORGIA"
2011,8,,"","GEORGIA"
2011,9,,"","GEORGIA"
2011,10,,"","GEORGIA"
2011,11,,"","GEORGIA"
2011,12,,"","GEORGIA"
2012,1,,"","GEORGIA"
2012,2,,"","GEORGIA"
2012,3,,"","GEORGIA"
2012,4,,"","GEORGIA"
2012,5,,"","GEORGIA"
2012,6,,"","GEORGIA"
2012,7,,"","GEORGIA"
2012,8,,"","GEORGIA"
2012,9,,"","GEORGIA"
2012,10,,"","GEORGIA"
2012,11,,"","GEORGIA"
2012,12,,"","GEORGIA"
2013,1,,"","GEORGIA"
2013,2,,"","GEORGIA"
2013,3,,"","GEORGIA"
2013,4,,"","GEORGIA"
2013,5,,"","GEORGIA"
2013,6,,"","GEORGIA"
2013,7,,"","GEORGIA"
2013,8,,"","GEORGIA"
2013,9,,"","GEORGIA"
2013,10,,"","GEORGIA"
2013,11,,"","GEORGIA"
2013,12,,"","GEORGIA"
2008,1,,"","HAWAII"
2008,2,,"","HAWAII"
2008,3,,"","HAWAII"
2008,4,,"","HAWAII"
2008,5,,"","HAWAII"
2008,6,,"","HAWAII"
2008,7,,"","HAWAII"
2008,8,,"","HAWAII"
2008,9,,"","HAWAII"
2008,10,,"","HAWAII"
2008,11,,"","HAWAII"
2008,12,,"","HAWAII"
2009,1,,"","HAWAII"
2009,2,,"","HAWAII"
2009,3,,"","HAWAII"
2009,4,,"","HAWAII"
2009,5,,"","HAWAII"
2009,6,,"","HAWAII"
2009,7,,"","HAWAII"
2009,8,,"","HAWAII"
2009,9,,"","HAWAII"
2009,10,,"","HAWAII"
2009,11,,"","HAWAII"
2009,12,,"","HAWAII"
2010,1,,"","HAWAII"
2010,2,,"","HAWAII"
2010,3,,"","HAWAII"
2010,4,,"","HAWAII"
2010,5,,"","HAWAII"
2010,6,,"","HAWAII"
2010,7,,"","HAWAII"
2010,8,,"","HAWAII"
2010,9,,"","HAWAII"
2010,10,,"","HAWAII"
2010,11,,"","HAWAII"
2010,12,,"","HAWAII"
2011,1,,"","HAWAII"
2011,2,,"","HAWAII"
2011,3,,"","HAWAII"
2011,4,,"","HAWAII"
2011,5,,"","HAWAII"
2011,6,,"","HAWAII"
2011,7,,"","HAWAII"
2011,8,,"","HAWAII"
2011,9,,"","HAWAII"
2011,10,,"","HAWAII"
2011,11,,"","HAWAII"
2011,12,,"","HAWAII"
2012,1,,"","HAWAII"
2012,2,,"","HAWAII"
2012,3,,"","HAWAII"
2012,4,,"","HAWAII"
2012,5,,"","HAWAII"
2012,6,,"","HAWAII"
2012,7,,"","HAWAII"
2012,8,,"","HAWAII"
2012,9,,"","HAWAII"
2012,10,,"","HAWAII"
2012,11,,"","HAWAII"
2012,12,,"","HAWAII"
2013,1,,"","HAWAII"
2013,2,,"","HAWAII"
2013,3,,"","HAWAII"
2013,4,,"","HAWAII"
2013,5,,"","HAWAII"
2013,6,,"","HAWAII"
2013,7,,"","HAWAII"
2013,8,,"","HAWAII"
2013,9,,"","HAWAII"
2013,10,,"","HAWAII"
2013,11,,"","HAWAII"
2013,12,,"","HAWAII"
2003,1,,"","IDAHO"
2003,2,,"","IDAHO"
2003,3,,"","IDAHO"
2003,4,,"","IDAHO"
2003,5,,"","IDAHO"
2003,6,,"","IDAHO"
2003,7,,"","IDAHO"
2003,8,,"","IDAHO"
2003,9,,"","IDAHO"
2003,10,,"","IDAHO"
2003,11,,"","IDAHO"
2003,12,,"","IDAHO"
2004,1,,"","IDAHO"
2004,2,,"","IDAHO"
2004,3,,"","IDAHO"
2004,4,,"","IDAHO"
2004,5,,"","IDAHO"
2004,6,,"","IDAHO"
2004,7,,"","IDAHO"
2004,8,,"","IDAHO"
2004,9,,"","IDAHO"
2004,10,,"","IDAHO"
2004,11,,"","IDAHO"
2004,12,,"","IDAHO"
2005,1,,"","IDAHO"
2005,2,,"","IDAHO"
2005,3,,"","IDAHO"
2005,4,,"","IDAHO"
2005,5,,"","IDAHO"
2005,6,,"","IDAHO"
2005,7,,"","IDAHO"
2005,8,,"","IDAHO"
2005,9,,"","IDAHO"
2005,10,,"","IDAHO"
2005,11,,"","IDAHO"
2005,12,,"","IDAHO"
2006,1,,"18","IDAHO"
2006,2,,"18","IDAHO"
2006,3,,"18","IDAHO"
2006,4,,"18","IDAHO"
2006,5,,"18","IDAHO"
2006,6,,"18","IDAHO"
2006,7,20,"18","IDAHO"
2006,8,20,"18","IDAHO"
2006,9,20,"18","IDAHO"
2006,10,,"18","IDAHO"
2006,11,,"18","IDAHO"
2006,12,,"18","IDAHO"
2007,1,,"19","IDAHO"
2007,2,,"19","IDAHO"
2007,3,,"19","IDAHO"
2007,4,18,"19","IDAHO"
2007,5,19,"19","IDAHO"
2007,6,19,"19","IDAHO"
2007,7,26,"19","IDAHO"
2007,8,26,"19","IDAHO"
2007,9,18,"19","IDAHO"
2007,10,,"19","IDAHO"
2007,11,,"19","IDAHO"
2007,12,,"19","IDAHO"
2008,1,,"","IDAHO"
2008,2,,"","IDAHO"
2008,3,,"","IDAHO"
2008,4,,"","IDAHO"
2008,5,,"","IDAHO"
2008,6,,"","IDAHO"
2008,7,,"","IDAHO"
2008,8,,"","IDAHO"
2008,9,,"","IDAHO"
2008,10,,"","IDAHO"
2008,11,,"","IDAHO"
2008,12,,"","IDAHO"
2009,1,,"25","IDAHO"
2009,2,,"25","IDAHO"
2009,3,,"25","IDAHO"
2009,4,,"25","IDAHO"
2009,5,,"25","IDAHO"
2009,6,,"25","IDAHO"
2009,7,,"25","IDAHO"
2009,8,,"25","IDAHO"
2009,9,,"25","IDAHO"
2009,10,,"25","IDAHO"
2009,11,,"25","IDAHO"
2009,12,,"25","IDAHO"
2010,1,26,"28","IDAHO"
2010,2,25,"28","IDAHO"
2010,3,26,"28","IDAHO"
2010,4,26,"28","IDAHO"
2010,5,27,"28","IDAHO"
2010,6,27,"28","IDAHO"
2010,7,27,"28","IDAHO"
2010,8,28,"28","IDAHO"
2010,9,29,"28","IDAHO"
2010,10,30,"28","IDAHO"
2010,11,30,"28","IDAHO"
2010,12,29,"28","IDAHO"
2011,1,28,"31","IDAHO"
2011,2,29,"31","IDAHO"
2011,3,31,"31","IDAHO"
2011,4,28,"31","IDAHO"
2011,5,28,"31","IDAHO"
2011,6,28,"31","IDAHO"
2011,7,33,"31","IDAHO"
2011,8,34,"31","IDAHO"
2011,9,33,"31","IDAHO"
2011,10,32,"31","IDAHO"
2011,11,33,"31","IDAHO"
2011,12,35,"31","IDAHO"
2012,1,46,"39","IDAHO"
2012,2,44,"39","IDAHO"
2012,3,46,"39","IDAHO"
2012,4,47,"39","IDAHO"
2012,5,46,"39","IDAHO"
2012,6,40,"39","IDAHO"
2012,7,40,"39","IDAHO"
2012,8,38,"39","IDAHO"
2012,9,34,"39","IDAHO"
2012,10,31,"39","IDAHO"
2012,11,32,"39","IDAHO"
2012,12,27,"39","IDAHO"
2013,1,29,"","IDAHO"
2013,2,30,"","IDAHO"
2013,3,32,"","IDAHO"
2013,4,,"","IDAHO"
2013,5,,"","IDAHO"
2013,6,,"","IDAHO"
2013,7,,"","IDAHO"
2013,8,,"","IDAHO"
2013,9,,"","IDAHO"
2013,10,,"","IDAHO"
2013,11,,"","IDAHO"
2013,12,,"","IDAHO"
2003,1,706,"725","ILLINOIS"
2003,2,704,"725","ILLINOIS"
2003,3,700,"725","ILLINOIS"
2003,4,713,"725","ILLINOIS"
2003,5,725,"725","ILLINOIS"
2003,6,729,"725","ILLINOIS"
2003,7,739,"725","ILLINOIS"
2003,8,724,"725","ILLINOIS"
2003,9,720,"725","ILLINOIS"
2003,10,733,"725","ILLINOIS"
2003,11,759,"725","ILLINOIS"
2003,12,753,"725","ILLINOIS"
2004,1,747,"751","ILLINOIS"
2004,2,739,"751","ILLINOIS"
2004,3,739,"751","ILLINOIS"
2004,4,750,"751","ILLINOIS"
2004,5,763,"751","ILLINOIS"
2004,6,771,"751","ILLINOIS"
2004,7,764,"751","ILLINOIS"
2004,8,758,"751","ILLINOIS"
2004,9,764,"751","ILLINOIS"
2004,10,730,"751","ILLINOIS"
2004,11,740,"751","ILLINOIS"
2004,12,750,"751","ILLINOIS"
2005,1,728,"751","ILLINOIS"
2005,2,726,"751","ILLINOIS"
2005,3,721,"751","ILLINOIS"
2005,4,742,"751","ILLINOIS"
2005,5,752,"751","ILLINOIS"
2005,6,760,"751","ILLINOIS"
2005,7,754,"751","ILLINOIS"
2005,8,758,"751","ILLINOIS"
2005,9,759,"751","ILLINOIS"
2005,10,763,"751","ILLINOIS"
2005,11,769,"751","ILLINOIS"
2005,12,774,"751","ILLINOIS"
2006,1,769,"789","ILLINOIS"
2006,2,742,"789","ILLINOIS"
2006,3,753,"789","ILLINOIS"
2006,4,777,"789","ILLINOIS"
2006,5,794,"789","ILLINOIS"
2006,6,812,"789","ILLINOIS"
2006,7,812,"789","ILLINOIS"
2006,8,816,"789","ILLINOIS"
2006,9,797,"789","ILLINOIS"
2006,10,796,"789","ILLINOIS"
2006,11,792,"789","ILLINOIS"
2006,12,802,"789","ILLINOIS"
2007,1,794,"816","ILLINOIS"
2007,2,796,"816","ILLINOIS"
2007,3,796,"816","ILLINOIS"
2007,4,799,"816","ILLINOIS"
2007,5,819,"816","ILLINOIS"
2007,6,819,"816","ILLINOIS"
2007,7,800,"816","ILLINOIS"
2007,8,824,"816","ILLINOIS"
2007,9,794,"816","ILLINOIS"
2007,10,831,"816","ILLINOIS"
2007,11,855,"816","ILLINOIS"
2007,12,859,"816","ILLINOIS"
2008,1,850,"875","ILLINOIS"
2008,2,824,"875","ILLINOIS"
2008,3,831,"875","ILLINOIS"
2008,4,840,"875","ILLINOIS"
2008,5,873,"875","ILLINOIS"
2008,6,884,"875","ILLINOIS"
2008,7,889,"875","ILLINOIS"
2008,8,902,"875","ILLINOIS"
2008,9,901,"875","ILLINOIS"
2008,10,912,"875","ILLINOIS"
2008,11,887,"875","ILLINOIS"
2008,12,901,"875","ILLINOIS"
2009,1,885,"845","ILLINOIS"
2009,2,860,"845","ILLINOIS"
2009,3,842,"845","ILLINOIS"
2009,4,850,"845","ILLINOIS"
2009,5,855,"845","ILLINOIS"
2009,6,870,"845","ILLINOIS"
2009,7,846,"845","ILLINOIS"
2009,8,834,"845","ILLINOIS"
2009,9,827,"845","ILLINOIS"
2009,10,817,"845","ILLINOIS"
2009,11,820,"845","ILLINOIS"
2009,12,828,"845","ILLINOIS"
2010,1,808,"864","ILLINOIS"
2010,2,803,"864","ILLINOIS"
2010,3,810,"864","ILLINOIS"
2010,4,838,"864","ILLINOIS"
2010,5,862,"864","ILLINOIS"
2010,6,846,"864","ILLINOIS"
2010,7,867,"864","ILLINOIS"
2010,8,902,"864","ILLINOIS"
2010,9,913,"864","ILLINOIS"
2010,10,896,"864","ILLINOIS"
2010,11,903,"864","ILLINOIS"
2010,12,923,"864","ILLINOIS"
2011,1,906,"905","ILLINOIS"
2011,2,886,"905","ILLINOIS"
2011,3,845,"905","ILLINOIS"
2011,4,879,"905","ILLINOIS"
2011,5,882,"905","ILLINOIS"
2011,6,912,"905","ILLINOIS"
2011,7,935,"905","ILLINOIS"
2011,8,931,"905","ILLINOIS"
2011,9,916,"905","ILLINOIS"
2011,10,922,"905","ILLINOIS"
2011,11,912,"905","ILLINOIS"
2011,12,935,"905","ILLINOIS"
2012,1,915,"974","ILLINOIS"
2012,2,913,"974","ILLINOIS"
2012,3,926,"974","ILLINOIS"
2012,4,955,"974","ILLINOIS"
2012,5,963,"974","ILLINOIS"
2012,6,975,"974","ILLINOIS"
2012,7,995,"974","ILLINOIS"
2012,8,1008,"974","ILLINOIS"
2012,9,1001,"974","ILLINOIS"
2012,10,995,"974","ILLINOIS"
2012,11,1010,"974","ILLINOIS"
2012,12,1034,"974","ILLINOIS"
2013,1,1175,"","ILLINOIS"
2013,2,1158,"","ILLINOIS"
2013,3,1167,"","ILLINOIS"
2013,4,,"","ILLINOIS"
2013,5,,"","ILLINOIS"
2013,6,,"","ILLINOIS"
2013,7,,"","ILLINOIS"
2013,8,,"","ILLINOIS"
2013,9,,"","ILLINOIS"
2013,10,,"","ILLINOIS"
2013,11,,"","ILLINOIS"
2013,12,,"","ILLINOIS"
2003,1,119,"123","INDIANA"
2003,2,120,"123","INDIANA"
2003,3,118,"123","INDIANA"
2003,4,120,"123","INDIANA"
2003,5,122,"123","INDIANA"
2003,6,123,"123","INDIANA"
2003,7,126,"123","INDIANA"
2003,8,126,"123","INDIANA"
2003,9,122,"123","INDIANA"
2003,10,128,"123","INDIANA"
2003,11,124,"123","INDIANA"
2003,12,128,"123","INDIANA"
2004,1,119,"133","INDIANA"
2004,2,116,"133","INDIANA"
2004,3,119,"133","INDIANA"
2004,4,128,"133","INDIANA"
2004,5,147,"133","INDIANA"
2004,6,145,"133","INDIANA"
2004,7,148,"133","INDIANA"
2004,8,147,"133","INDIANA"
2004,9,146,"133","INDIANA"
2004,10,126,"133","INDIANA"
