"","psraid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","smsa","susr","igender","irace","iloc","form","llitext0","llitext","cpitext0","cpitext","qs1","thought","campnii","reg","precinct","folgov","q5","q5a","q5horse","q5b","q7","q8","swing","swingdet","oftvote","planto1","planto2","q15a","q15b","q15c","q15d","q20","q21","q22","q26a","q26b","q26c","q26d","q26e","q26f","q26g","q27a","q27b","q27c","q27d","q27e","q27f","q28","q34","q35af1","q35bf1","q35cf1","q35df1","q35ff1","q35gf1","q35h","q35if2","q35jf2","q35kf2","q35mf2","q35nf2","q39","q40f1","q42f1","q43f2","q52","q56","q57f1","q58f1","q59f2","q60f2","q61","q61a","q62","q63","q64a","q64b","q64c","q65a","q65b","q65c","q66a","q66b","q66c","q67a","q67b","q67c","q67d","q68","q69","sex","age","educ2","hisp","race3m1","race3m2","race3m3","race3m4","racecmb","racethn","birth_hisp","relig","chr","born","attend","income","party","partyln","partyid","ideo","teaparty2","pvote08a","pvote08b","scale10","hh1","hh3","ql1","ql1a","qc1","lc2","lc3","money2","phoneuse","lvs7","battle","llweight","coweight","lvs7wt64","unlvs7wt64","weight"
"628",102913,"Landline",100512,121005,2,"No","English","West","New Mexico",1,"R","West","New Mexico",0,"R","Female","White","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Fairly closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Some of the time","(VOL.) Other candidate","(VOL.) Other candidate","Other/Refused to lean",NA,"Decided not to vote for him","Chance might vote for him","Other/Undecided","Other/Refused to lean/Undecided","Always","Yes","Absolutely certain","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Yes, some","Barack Obama","Mostly confusing","(VOL.) Neither","Barack Obama","Barack Obama","(VOL.) Neither","(VOL.) Neither","(VOL.) Neither","Barack Obama","(VOL.) Neither","(VOL.) Neither","Mitt Romney","(VOL.) Neither","Barack Obama","(VOL.) Neither","(VOL.) Don't know/Refused","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","Disapprove","Approve","Approve","Approve","Too supportive",NA,NA,"Not quickly enough","To avoid a military conflict with Iran","Getting tougher with China on economic issues",NA,NA,"Less involved","(VOL.) Don't know/Refused","Yes","Mostly because of human activity such as burning fossil fuels","Somewhat serious","Yes, scientists generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Mitt Romney","(VOL.) Don't know/Refused","Barack Obama","Agree","Agree","Agree","Agree","(VOL.) Both equally","Disagree with him on issues","Female",59,"Two year associate degree from any college or university","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Unitarian (Universalist) (VOL.)",NA,NA,"Seldom","20 to under $30,000","Independent","(VOL.) Other/Don't know/Refused","Other/Don't know/Refused","Conservative","Agree","Voted","McCain",10,2,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone",NA,"Dual/few, some cell",7,"Democratic states",2.16666666666667,1.69565217391304,1.625,0,1.625
"629",102915,"Landline",100512,121005,2,"No","English","West","Utah",1,"R","West","Utah",0,"R","Female","Black or African-American","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Very unfavorable","Very favorable","Very unfavorable","Very favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse","Disapprove","Approve","Disapprove","Disapprove","Disapprove","Approve","Disapprove",NA,NA,NA,NA,NA,"Not supportive enough","Fairly well","Keep troops in Afghanistan",NA,"To take a firm stand against Iranian actions","Getting tougher with China on economic issues","No, will not lead to lasting improvements","Will be bad for the United States",NA,NA,"No",NA,"Not a problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"(VOL.) Both equally","Male",63,"Two year associate degree from any college or university","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"No, would not","Once a week","50 to under $75,000","Independent","Republican","Republican","Moderate","Agree","Voted","McCain",10,4,4,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",7,"Republican states",7.91666666666667,3.39130434782609,2.125,0,2.125
"630",102921,"Landline",100612,121004,5,"No","English","West","California",4,"U","West","California",41740,"U","Male","Black or African-American","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Fairly closely","NOT registered to vote at your current address",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly favorable","Very unfavorable","Yes, some","Mitt Romney","(VOL.) Neither/Both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Better","Disapprove","Disapprove","Disapprove","Approve","Approve","Approve","Approve",NA,NA,NA,NA,NA,"About right","Not too well","Remove troops",NA,"To avoid a military conflict with Iran","Building a stronger relationship with China on economic issues","Yes, will lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",41,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino,  Vietnamese or other Asian origin groups)",NA,NA,NA,"Asian","Other",NA,"Hindu",NA,NA,"Once a week","$150,000 or more","Democrat",NA,"Democrat","Moderate","Disagree","Did not vote (includes too young to vote)",NA,NA,3,2,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",0,"Democratic states",6.91666666666667,5.73913043478261,0,4.66666666666667,4.66666666666667
"631",102926,"Landline",100712,121005,3,"Yes","English","West","Washington",3,"R","West","Washington",0,"R","Female","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"(VOL.) None","Not at all closely","NOT registered to vote at your current address",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(VOL.) Refused","Very unfavorable","(VOL.) Refused","Mostly unfavorable","No, didn’t watch","(VOL.) Don't know/Refused",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(VOL.) Don't know/Refused",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","Approve","(VOL.) Don't know/Refused","Too supportive",NA,NA,"(VOL.) Don't know/Refused","To avoid a military conflict with Iran","Getting tougher with China on economic issues",NA,NA,"Less involved","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused",NA,"Not too serious","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",23,"High school graduate (Grade 12 with diploma or GED certificate)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Something else (VOL./SPECIFY)","No",NA,"Seldom","40 to under $50,000","(VOL.) No preference","(VOL.) Other/Don't know/Refused","Other/Don't know/Refused","Moderate","No opinion either way","Did not vote (includes too young to vote)",NA,NA,3,3,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",0,"Democratic states",22.5,9.1304347826087,0,4.29166666666667,4.29166666666667
"632",102931,"Landline",100512,121004,3,"No","English","West","California",4,"S","West","California",41860,"S","Male","White","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Very favorable","Very unfavorable","Very favorable","Very unfavorable","Yes, all","Mitt Romney","Mostly confusing","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better","Disapprove","Disapprove","Disapprove","Disapprove","Approve","Approve","Disapprove",NA,NA,NA,NA,NA,"About right","Fairly well","Remove troops",NA,"To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues","Yes, will lead to lasting improvements","Will be good for the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Agree","Disagree","Disagree","(VOL.) Both equally",NA,"Male",63,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Agnostic (not sure if there is a God)",NA,NA,"Never","50 to under $75,000","Democrat",NA,"Democrat","Moderate","Disagree","Voted","Obama",10,1,NA,"Yes, have cell phone",NA,NA,"Some on a cell phone and some on a regular home phone",NA,NA,"Dual/few, some cell",7,"Democratic states",5.16666666666667,2.39130434782609,1.54166666666667,0,1.54166666666667
"633",102936,"Landline",100512,121004,3,"No","English","West","California",2,"S","West","California",42220,"S","Female","Black or African-American","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"(VOL.) None","Not at all closely","PROBABLY registered, but there is a chance your registration has lapsed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very unfavorable","Mostly unfavorable","Very unfavorable","No, didn’t watch","Mitt Romney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No effect so far","Disapprove","Disapprove","Disapprove","(VOL.) Don't know/Refused","Approve","Disapprove","Approve",NA,NA,NA,NA,NA,"Too supportive","Not at all well","Remove troops",NA,"To avoid a military conflict with Iran","Building a stronger relationship with China on economic issues","(VOL.) Don't know/Refused","Won’t have much of an effect on the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","No, do not generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","No, would not","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",57,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Atheist (do not believe in God)",NA,NA,"Never","50 to under $75,000","Independent","(VOL.) Other/Don't know/Refused","Other/Don't know/Refused","Very liberal","Disagree","Voted","Other candidate",NA,3,3,"No, do not","No",NA,NA,NA,NA,"LLO",0,"Democratic states",6.66666666666667,3.52173913043478,0,3.04166666666667,3.04166666666667
"634",102940,"Landline",100512,121005,2,"No","English","West","California",5,"U","West","California",31100,"U","Female","White","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Part of the time","Yes","Absolutely certain","Very unfavorable","Very favorable","Very unfavorable","Very favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse","Disapprove","Disapprove","Disapprove","Approve","Disapprove","Disapprove","Disapprove",NA,NA,NA,NA,NA,"Not supportive enough","Fairly well","Keep troops in Afghanistan",NA,"To take a firm stand against Iranian actions","Getting tougher with China on economic issues","No, will not lead to lasting improvements","Will be bad for the United States",NA,NA,"No",NA,"Not too serious","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","No, would not","Yes, would help","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Don’t trust him personally","Female",32,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","Yes","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","Hispanic","U.S.","Jewish (Judaism)",NA,NA,"Once or twice a month","$150,000 or more","Republican",NA,"Republican","Conservative","Agree","Did not vote (includes too young to vote)",NA,10,4,2,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",5,"Democratic states",22.5,9.1304347826087,5.04166666666667,0,5.04166666666667
"635",102941,"Landline",100512,121004,3,"No","English","West","Idaho",2,"U","West","Idaho",14260,"U","Female","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Not too closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Only moderately",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Very unfavorable","Mostly favorable","Very unfavorable","(VOL.) Never heard of","No, didn’t watch","Mitt Romney",NA,"Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","Approve","Approve","Disapprove","Approve","Not supportive enough",NA,NA,"Too quickly","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","No",NA,"Not a problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","No, would not","Yes, would help","Yes, would help","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Disagree with him on issues","Female",62,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"Yes, would","More than once a week","40 to under $50,000","Republican",NA,"Republican","Very conservative","Agree","Voted","(VOL.) Don’t remember which candidate",10,3,3,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",6,"Republican states",3,3.69565217391304,2.29166666666667,0,2.29166666666667
"636",102949,"Landline",100512,121004,2,"No","English","West","California",4,"U","West","California",41940,"U","Male","White","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Republican ticket of Mitt Romney and Paul Ryan",NA,"Romney/Lean Romney","Strongly",NA,"Decided not to vote for him","Certain ROMNEY--No chance Obama","Certain ROMNEY--No chance Obama","Always","Yes","Absolutely certain","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Yes, all","Mitt Romney","Mostly informative","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Mitt Romney","Worse",NA,NA,NA,NA,NA,NA,"Disapprove","Disapprove","Approve","Disapprove","Disapprove","Disapprove","Not supportive enough",NA,NA,"About right","To take a firm stand against Iranian actions","Getting tougher with China on economic issues",NA,NA,"Less involved","Stable governments, even if there is less democracy in the region","No",NA,"Not a problem","No, do not generally agree that the earth is getting warmer because of human activity","No, would not","Yes, would help","No, would not","Yes, would help","No, would not","Yes, would help","Mitt Romney","Mitt Romney","Mitt Romney","Disagree","Disagree","Agree","Agree",NA,"Don’t trust him personally","Female",28,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","Once a week","$150,000 or more","Independent","Republican","Republican","Conservative","Agree","Voted","McCain",10,3,3,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",7,"Democratic states",21.8333333333333,6.8695652173913,4,0,4
"637",102959,"Landline",100612,121005,3,"No","English","West","California",5,"S","West","California",31100,"S","Male","White","PDS - Virginia","Form 2","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Very favorable","Very unfavorable","Very favorable","Very unfavorable","Yes, all","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","Barack Obama","Barack Obama","(VOL.) Don't know/Refused","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","Barack Obama","Barack Obama","Barack Obama","(VOL.) Don't know/Refused",NA,NA,NA,NA,NA,NA,"Approve","Disapprove","Disapprove","Disapprove","Approve","Disapprove","(VOL.) Don't know/Refused",NA,NA,"Not quickly enough","(VOL.) Don't know/Refused","(VOL.) Don't know/Refused",NA,NA,"(VOL.) Don't know/Refused","(VOL.) Don't know/Refused","Yes","(VOL.) Don't know/Refused","Very serious problem","(VOL.) Don't know/Refused","Yes, would help","(VOL.) Don't know/Refused","Yes, would help","No, would not","Yes, would help","No, would not","(VOL.) Don't know/Refused","Barack Obama","Barack Obama","Agree","(VOL.) Don't know/Refused","Disagree","Disagree","(VOL.) Both equally",NA,"Female",87,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Agnostic (not sure if there is a God)",NA,NA,"A few times a year","40 to under $50,000","Democrat",NA,"Democrat","Very liberal","Disagree","Voted","Obama",10,2,2,"No, do not","Yes, someone in household has cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual/few, some cell",7,"Democratic states",2.08333333333333,1.43478260869565,2.16666666666667,0,2.16666666666667
"638",102960,"Landline",100512,121005,2,"No","English","West","California",5,"S","West","California",31100,"S","Female","Some other race","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Very favorable","Mostly unfavorable","Mostly favorable","Very unfavorable","Yes, all","Mitt Romney","(VOL.) Neither/Both","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","(VOL.) Neither","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better","Disapprove","Approve","Disapprove","Approve","Approve","Disapprove","Approve",NA,NA,NA,NA,NA,"About right","Not at all well","Remove troops",NA,"To avoid a military conflict with Iran","Building a stronger relationship with China on economic issues","(VOL.) Don't know/Refused","Will be bad for the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","(VOL.) Don't know/Refused","Agree","Agree","Disagree","Disagree","(VOL.) Both equally",NA,"Male",64,"Two year associate degree from any college or university","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Roman Catholic (Catholic)",NA,"No, would not","Seldom","100 to under $150,000","Independent","Democrat","Democrat","Moderate","Disagree","Voted","Obama",10,2,2,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone",NA,"Dual/few, some cell",7,"Democratic states",15.5,6.08695652173913,3.33333333333333,0,3.33333333333333
"639",102963,"Landline",100512,121005,2,"No","English","West","Washington",4,"U","West","Washington",42660,"U","Female","Black or African-American","PDS - Virginia","Form 1","study about some important issues today and would like to include your household","Female first",NA,NA,NA,"Little","Not too closely","PROBABLY registered, but there is a chance your registration has lapsed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very favorable","Very favorable","Very favorable","(VOL.) Can’t rate","Yes, a little","Barack Obama","Mostly informative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Better","Approve","Approve","Disapprove","Approve","Approve","Disapprove","Approve",NA,NA,NA,NA,NA,"About right","Very well","(VOL.) Don't know/Refused",NA,"To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues","(VOL.) Don't know/Refused","Will be bad for the United States",NA,NA,"(VOL.) Don't know/Refused",NA,"Somewhat serious","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","(VOL.) Depends/Both/Neither","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",53,"High school graduate (Grade 12 with diploma or GED certificate)","No","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino,  Vietnamese or other Asian origin groups)",NA,NA,NA,"Asian","Other",NA,"Roman Catholic (Catholic)",NA,"No, would not","Once or twice a month","30 to under $40,000","Democrat",NA,"Democrat","Conservative","(VOL.) Refused","Voted","Obama",NA,5,4,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",0,"Democratic states",22.5,9.1304347826087,0,9.54166666666667,9.54166666666667
"640",102966,"Landline",100712,121005,3,"Yes","English","West","Idaho",1,"R","West","Idaho",0,"R","Male","Black or African-American","PDS - Virginia","Form 2","telephone opinion survey for leading newspapers and TV stations around the country","Female first",NA,NA,NA,"Quite a lot","Fairly closely","ABSOLUTELY CERTAIN that you are registered to vote at your current address","Yes","Most of the time","For the Democratic ticket of Barack Obama and Joe Biden",NA,"Obama/Lean Obama","Strongly","Decided not to vote for him",NA,"Certain OBAMA–-No chance Romney","Certain OBAMA–-No chance Romney","Always","Yes","Absolutely certain","Mostly favorable","Very unfavorable","Mostly favorable","Very unfavorable","Yes, all","Barack Obama","Mostly informative","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Barack Obama","Better",NA,NA,NA,NA,NA,NA,"Approve","Approve","Disapprove","Approve","Approve","Disapprove","About right",NA,NA,"About right","To take a firm stand against Iranian actions","Building a stronger relationship with China on economic issues",NA,NA,"Less involved","Democratic governments, even if there is less stability in the region","Yes","Mostly because of human activity such as burning fossil fuels","Somewhat serious","No, do not generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not","Barack Obama","Barack Obama","Barack Obama","Agree","Disagree","Disagree","Disagree","Don’t trust him personally",NA,"Female",56,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",NA,"Yes, would","Never","100 to under $150,000","(VOL.) No preference","Democrat","Democrat","Conservative","Disagree","Voted","McCain",10,3,3,"Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual/few, some cell",7,"Republican states",2.08333333333333,1.43478260869565,1.20833333333333,0,1.20833333333333
"641",102967,"Landline",100512,121005,2,"No","English","West","California",3,"U","West","California",41740,"U","Female","Black or African-American","PDS - Virginia","Form 1","telephone opinion survey for leading newspapers and TV stations around the country","Male first",NA,NA,NA,"Quite a lot","Very closely","PROBABLY registered, but there is a chance your registration has lapsed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Very favorable","Very unfavorable","Yes, some","Mitt Romney","Mostly confusing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Better","Disapprove","Disapprove","Disapprove","Disapprove","Approve","Approve","Approve",NA,NA,NA,NA,NA,"About right","Not at all well","Remove troops",NA,"To avoid a military conflict with Iran","Building a stronger relationship with China on economic issues","Yes, will lead to lasting improvements","Won’t have much of an effect on the United States",NA,NA,"Yes","Mostly because of human activity such as burning fossil fuels","Very serious problem","Yes, scientists generally agree that the earth is getting warmer because of human activity","Yes, would help","Yes, would help","Yes, would help","No, would not","Yes, would help","No, would not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",51,"Some college, no degree includes community college","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp",NA,"Atheist (do not believe in God)",NA,NA,"Never","40 to under $50,000","Democrat",NA,"Democrat","Liberal","Disagree","Voted","Obama",NA,3,3,"Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone",NA,"Dual/most cell",0,"Democratic states",11.5,7.65217391304348,0,4.70833333333333,4.70833333333333
